epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.94674,1.07071,6.26354,0.03087,0.00511,0.86299,0.12577,0.08379,0.46003,5.43277,0.01933,0.00020006,0.00020006,0.00020006
2,10.9655,0.69887,5.58114,0.0184,0.00348,1,0.2722,0.24491,0.40674,5.33601,0.01719,0.000410307,0.000410307,0.000410307
3,12.9626,0.62943,5.14289,0.01751,0.00353,1,0.51655,0.44401,0.55901,5.21529,0.02321,0.000616311,0.000616311,0.000616311
4,14.9255,0.704,4.34504,0.01915,0.03955,1,0.69093,0.54079,0.98012,4.63901,0.04535,0.00081807,0.00081807,0.00081807
5,16.9368,0.77095,3.97142,0.02069,0.88354,0.39686,0.72682,0.61686,0.70838,4.56746,0.03091,0.00101558,0.00101558,0.00101558
6,18.9244,0.79259,3.56549,0.02108,0.83955,0.25047,0.67671,0.56391,0.54975,4.45807,0.02332,0.00120886,0.00120886,0.00120886
7,20.9375,0.76756,3.25157,0.02027,0.70541,0.85208,0.84715,0.67666,0.85965,3.75329,0.0382,0.00134412,0.00134412,0.00134412
8,22.8755,0.80935,3.16092,0.02196,0.85538,0.76122,0.86703,0.60822,1.10224,3.66406,0.05101,0.00132997,0.00132997,0.00132997
9,24.7946,0.71293,2.65719,0.01854,0.80335,0.72809,0.87144,0.70834,0.85263,3.26539,0.03734,0.00131582,0.00131582,0.00131582
10,26.7561,0.76731,2.72547,0.02043,0.76049,0.68255,0.78641,0.67938,0.51376,3.45089,0.02132,0.00130168,0.00130168,0.00130168
11,28.6238,0.69334,2.36919,0.01772,0.92713,0.9071,0.97557,0.82286,0.57995,2.57678,0.02445,0.00128753,0.00128753,0.00128753
12,30.6059,0.70257,2.26902,0.01898,0.71924,0.89059,0.91303,0.65019,1.08104,2.38181,0.04615,0.00127338,0.00127338,0.00127338
13,32.5119,0.74224,2.12103,0.02041,0.85477,0.85609,0.9614,0.79964,0.7172,1.97057,0.03042,0.00125923,0.00125923,0.00125923
14,34.3917,0.76019,2.04943,0.02063,0.84643,0.88302,0.95021,0.80221,0.83781,1.26745,0.03627,0.00124509,0.00124509,0.00124509
15,36.3175,0.74167,1.9333,0.01978,0.88856,0.90667,0.9709,0.87241,0.50198,1.03242,0.02111,0.00123094,0.00123094,0.00123094
16,38.2804,0.7212,1.77062,0.01872,0.86998,0.90091,0.96515,0.78876,0.82355,1.14337,0.03659,0.00121679,0.00121679,0.00121679
17,40.1925,0.69279,1.65251,0.01858,0.91137,0.90264,0.96013,0.81791,0.73501,0.89194,0.03173,0.00120265,0.00120265,0.00120265
18,42.1075,0.64086,1.57961,0.01704,0.80133,0.94015,0.96601,0.8279,0.69127,0.49212,0.02975,0.0011885,0.0011885,0.0011885
19,43.9994,0.66878,1.33964,0.01788,0.91107,0.89808,0.97488,0.88653,0.54579,0.49109,0.0229,0.00117435,0.00117435,0.00117435
20,45.8813,0.61198,1.2809,0.01602,0.89393,0.95951,0.97859,0.83998,0.73295,0.49453,0.03272,0.00116021,0.00116021,0.00116021
21,47.7691,0.55043,1.23412,0.0144,0.8865,0.92578,0.97507,0.88971,0.4241,0.36474,0.01774,0.00114606,0.00114606,0.00114606
22,49.6713,0.58565,1.12512,0.01515,0.91483,0.91891,0.97983,0.89621,0.40752,0.4277,0.01691,0.00113191,0.00113191,0.00113191
23,51.573,0.65078,1.15948,0.01726,0.94227,0.96415,0.98929,0.91151,0.48962,0.25557,0.02093,0.00111776,0.00111776,0.00111776
24,53.4752,0.58858,1.07417,0.01471,0.94839,0.9057,0.97935,0.90077,0.50421,0.32533,0.02154,0.00110362,0.00110362,0.00110362
25,55.3005,0.5836,0.98669,0.01494,0.94793,0.89415,0.98231,0.88874,0.50694,0.34014,0.02208,0.00108947,0.00108947,0.00108947
26,57.1625,0.60654,0.96594,0.01558,0.97345,0.9607,0.99037,0.91134,0.46436,0.24088,0.0196,0.00107532,0.00107532,0.00107532
